Connecting to host 172.0.0.1, port 5002
[  5] local 172.0.0.100 port 55960 connected to 172.0.0.1 port 5002
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-0.10   sec  39.8 KBytes  3.25 Mbits/sec    1   8.28 KBytes       
[  5]   0.10-0.20   sec  0.00 Bytes  0.00 bits/sec    0   8.28 KBytes       
[  5]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0   8.28 KBytes       
[  5]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    0   8.28 KBytes       
[  5]   0.40-0.50   sec  0.00 Bytes  0.00 bits/sec    1    848 Bytes       
[  5]   0.50-0.60   sec  0.00 Bytes  0.00 bits/sec    0    848 Bytes       
[  5]   0.60-0.70   sec  0.00 Bytes  0.00 bits/sec    0   9.11 KBytes       
[  5]   0.70-0.80   sec  0.00 Bytes  0.00 bits/sec    0   12.4 KBytes       
[  5]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    0   16.6 KBytes       
[  5]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0   16.6 KBytes       
[  5]   1.00-1.10   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.10-1.20   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.40-1.50   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.70-1.80   sec  0.00 Bytes  0.00 bits/sec    0   17.4 KBytes       
[  5]   1.80-1.90   sec  0.00 Bytes  0.00 bits/sec    0   19.9 KBytes       
[  5]   1.90-2.00   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.00-2.10   sec  95.2 KBytes  7.80 Mbits/sec    0   24.0 KBytes       
[  5]   2.10-2.20   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.30-2.40   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.40-2.50   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.50-2.60   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.60-2.70   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.80-2.90   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   2.90-3.00   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[  5]   3.00-3.10   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
